raga,makam,usul,metric,agg,value
Bhairav,Acem İlâhî,Düyek,shapeh_score,mean,26.47740455422481
Bhairav,Acem İlâhî,Düyek,shapeh_score,median,24.907774230632796
Bhairav,Acem İlâhî,Düyek,shapeh_score,max,43.08675048755434
Bhairav,Acem İlâhî,Düyek,shapeh_score,top_5_mean,41.78409611195869
Bhairav,Acem İlâhî,Nîmevsat,shapeh_score,mean,24.694582643356313
Bhairav,Acem İlâhî,Nîmevsat,shapeh_score,median,24.795119612862592
Bhairav,Acem İlâhî,Nîmevsat,shapeh_score,max,40.32412215284632
Bhairav,Acem İlâhî,Nîmevsat,shapeh_score,top_5_mean,36.66164211444029
Bhairav,Acem Küpe,Düyek (8/4),shapeh_score,mean,20.51333549119682
Bhairav,Acem Küpe,Düyek (8/4),shapeh_score,median,22.211505641954894
Bhairav,Acem Küpe,Düyek (8/4),shapeh_score,max,27.073216491232568
Bhairav,Acem Küpe,Düyek (8/4),shapeh_score,top_5_mean,26.195451107093866
Bhairav,Acem Selam,Devr-i Kebîr (28/8),shapeh_score,mean,30.070310226963674
Bhairav,Acem Selam,Devr-i Kebîr (28/8),shapeh_score,median,31.117440770513966
Bhairav,Acem Selam,Devr-i Kebîr (28/8),shapeh_score,max,61.53896018792736
Bhairav,Acem Selam,Devr-i Kebîr (28/8),shapeh_score,top_5_mean,51.52950612060571
Bhairav,Acem Seyir,Sofyan,shapeh_score,mean,21.605554146262442
Bhairav,Acem Seyir,Sofyan,shapeh_score,median,21.81786194055897
Bhairav,Acem Seyir,Sofyan,shapeh_score,max,31.40408106864509
Bhairav,Acem Seyir,Sofyan,shapeh_score,top_5_mean,31.00166972233975
Bhairav,Acem Türkü,Düyek,shapeh_score,mean,27.217578491181953
Bhairav,Acem Türkü,Düyek,shapeh_score,median,27.81347786880692
Bhairav,Acem Türkü,Düyek,shapeh_score,max,49.665691557937365
Bhairav,Acem Türkü,Düyek,shapeh_score,top_5_mean,45.38823117128433
Bhairav,Acemaşîrân Ağırsemâî,Ağırsenginsemâî,shapeh_score,mean,26.096702606863246
Bhairav,Acemaşîrân Ağırsemâî,Ağırsenginsemâî,shapeh_score,median,25.398005336387577
Bhairav,Acemaşîrân Ağırsemâî,Ağırsenginsemâî,shapeh_score,max,58.94722090450764
Bhairav,Acemaşîrân Ağırsemâî,Ağırsenginsemâî,shapeh_score,top_5_mean,47.45386788380744
Bhairav,Acemaşîrân Aranağme,Ağıraksak,shapeh_score,mean,15.233172904560906
Bhairav,Acemaşîrân Aranağme,Ağıraksak,shapeh_score,median,15.565763569254088
Bhairav,Acemaşîrân Aranağme,Ağıraksak,shapeh_score,max,21.536581891326307
Bhairav,Acemaşîrân Aranağme,Ağıraksak,shapeh_score,top_5_mean,20.65256712152747
Bhairav,Acemaşîrân Aranağme,Aksak,shapeh_score,mean,6.109374000478787
Bhairav,Acemaşîrân Aranağme,Aksak,shapeh_score,median,6.243584154946131
Bhairav,Acemaşîrân Aranağme,Aksak,shapeh_score,max,10.76252362982622
Bhairav,Acemaşîrân Aranağme,Aksak,shapeh_score,top_5_mean,9.89440833194439
