makam,usul,count,shapeh_mean,shapeh_max,shapeh_median,time_mean,time_max,avg_rank,best_rank,top_k_count
Sabâ Peşrev,Çenber,42,75.97953002601577,160.76267605734162,69.35562229601413,0.0,0.0,34.642857142857146,1,13
Beyâtî Beste,Sofyan,42,74.58797977781397,169.03297277815585,67.30193967574243,0.0,0.0,55.54761904761905,1,7
Karcığar Şarkı,Sofyan,42,73.26444164213882,134.05757415171252,69.73395415493178,0.0,0.0,56.714285714285715,2,5
Acem Selam,Devr-i Kebîr (28/8),42,72.18819618825384,153.80801255888798,68.11044584335853,0.0,0.0,78.21428571428571,1,1
Beyâtî Beste,Nîmdevir,42,73.67034295444681,159.99611737203608,66.67731201912315,0.0,0.0,88.71428571428571,2,8
Acemaşîrân Yürüksemâî,Yürüksemâî(6/4),42,73.0932861310023,153.305529557405,66.10915020948087,0.0,0.0,90.38095238095238,1,5
Nikrîz Fantezi,Yürüksemâî II,42,69.77112567685917,101.90500703018492,69.35420913624876,0.0,0.0,95.21428571428571,3,7
Ferahfezâ Beste,Fireng-i Fer,42,71.14548332919868,155.93786940523384,65.95282653321415,,,105.07142857142857,14,0
Nev`eser Beste,Zencîr,42,72.30461528061753,153.09692324348694,67.23176461202914,0.0,0.0,118.73809523809524,5,4
Nişâburek Peşrev,Muhammes,42,70.67533210645121,143.41194960489955,64.9961779156747,,,125.78571428571429,18,0
Nişâbureyn Peşrev,Devr-i Aryân,42,73.51443652052006,165.7849881690611,67.19495835309894,0.0,0.0,132.83333333333334,3,5
Uşşak Beste,Sofyan,42,72.57014708135902,152.71394911200323,67.66560644070346,0.0,0.0,135.42857142857142,2,7
Acemaşîrân Peşrev,Devr-i Kebîr,42,70.14133200279777,118.33753506188981,66.2709466745871,0.0,0.0,141.33333333333334,5,5
Ferahfezâ Ağırsemâî,Senginsemâî,42,70.47316500709255,128.02804737504158,66.85689228787992,0.0,0.0,145.71428571428572,4,1
Yegâh Beste,Zencîr,42,71.15209257471777,143.74003700997062,64.820445373255,0.0,0.0,146.21428571428572,5,3
Isfahân Beste,Zencîr,42,70.77355778437547,142.1329260527117,65.02875110581166,,,158.04761904761904,15,0
Hüzzam Beste,Düyek (8/4),42,70.44505154281808,157.60956689217426,65.39808653609177,0.0,0.0,160.21428571428572,10,1
Hicaz-Hümâyûn Nakış,Ağırsenginsemâî,42,69.39111485972899,135.57095500824124,65.57204052007688,,,169.54761904761904,13,0
Şehnâz İlâhî,Evsât,42,66.69915792786216,91.86312436518207,69.94374926101136,0.0,0.0,171.28571428571428,5,5
Sûzinâk-Zirgüle Nakış,Yürüksemâî II (6/4),42,68.43364062706789,122.27271704182361,63.83572516321843,,,174.0952380952381,18,0
Sabâ Peşrev,Nîmsofyan,42,68.33751993445951,122.3834563437626,65.28943634584223,0.0,0.0,177.47619047619048,8,1
Hicaz Beste,Hafîf,42,71.59499334291311,161.1400474092314,65.04607014799704,0.0,0.0,178.71428571428572,3,4
Hicazkâr Beste,Devr-i Kebîr,42,69.85496684752422,150.2274994907215,63.51197517568329,,,183.14285714285714,14,0
Dügâh Yürüksemâî,Yürüksemâî(6/4),42,68.47719840058963,116.57587043946141,64.55921880186261,0.0,0.0,183.28571428571428,3,2
Arazbâr Ağırsemâî,Ağır Aksaksemâî,42,67.58165391722765,114.53976007624219,65.53541874117654,0.0,0.0,187.71428571428572,8,1
Hüzzam Peşrev,Muhammes,42,69.95150914093627,155.4040297846217,64.39026821544408,,,190.14285714285714,11,0
Beste-Isfahan Yürüksemâî,Yürüksemâî(6/4),42,67.50757918175249,118.28531795382447,64.8178384353813,,,190.54761904761904,27,0
Ferahfezâ Peşrev,Devr-i Kebîr,42,68.37451235236081,116.99134225960259,65.16394683271285,0.0,0.0,193.52380952380952,6,1
Rast Medhal,Hafîf,42,66.85306053692332,106.58239704376089,65.9602741131068,,,196.16666666666666,15,0
Sûzidilârâ Peşrev,Ağırdüyek,42,70.17034415853597,136.9523400472669,62.83210109220715,,,203.8095238095238,17,0
Şedarabân Beste,Hafîf (32/2),42,70.55227464996106,141.87919763295758,61.97090486386218,0.0,0.0,214.35714285714286,3,5
Hüseynî Düet,Türkaksağı,42,67.35974307925146,91.0918489742483,71.71896426215812,0.0,0.0,218.07142857142858,1,9
Ruhnevaz Nakış,Nîmdevir (18/8),42,69.14933912802096,135.12760177385758,63.719238845368594,,,222.1904761904762,15,0
Hüzzam İlâhî,Muhammes,42,69.55787510617179,148.09950311479238,61.42445329093843,,,222.54761904761904,13,0
Rast Kâr-ı Nâtık,Çenber (12/2),42,68.7951350794729,145.83884494133,62.91772190668291,,,225.02380952380952,20,0
Nühüft Beste,Darb-ı Fetih,42,68.73873437202471,131.51285448300735,63.4793168683125,,,225.47619047619048,29,0
Muhayyer Beste,Darb-ı Fetih,42,69.44010093862647,129.47677902141547,64.76661459913691,,,228.3095238095238,15,0
Dilkeşhâveran Ağırsemâî,Ağır Aksaksemâî,42,69.9637057333571,158.0608527678419,61.53874009399211,0.0,0.0,229,3,2
Hüzzam Şarkı,Ağırdüyek,42,69.53160727318703,150.57800371239372,63.236846716326596,0.0,0.0,236.28571428571428,6,1
Sûzinâk Şarkı,Devr-i Hindî,42,68.06363323022934,129.65502305644247,61.85405706487276,,,236.78571428571428,40,0
Beyâtî Ağırsemâî,Ağır Aksaksemâî,126,67.62332448729143,166.54791993424294,64.45167121812366,0.0,0.0,237.53174603174602,1,13
Nev`eser Nakış,Aksaksemâî,42,65.32621036570862,104.35870325496846,63.78581013799664,,,238.28571428571428,14,0
Rehâvî Beste,Remel,42,68.29343872132371,124.03611606144395,63.632917861513086,,,242.71428571428572,33,0
Isfahân Peşrev,Devr-i Kebîr,42,64.7460120057527,95.49469067898617,65.25215642197054,,,243.88095238095238,16,0
Acemaşîrân İlâhî,Muhammes,42,67.51636694682254,121.67393688931061,63.35568711332191,,,247.64285714285714,13,0
Hicaz Beste,Zencîr,42,69.00865687548826,147.6575203034877,64.37981446579843,,,247.78571428571428,18,0
Hicaz-Hümâyûn Peşrev,Çenber,42,67.49068637017848,136.39766415517414,60.90891351946574,,,250.3095238095238,35,0
Rast Kâr-ı Nev,Ağırdüyek,42,67.3883966877575,121.65789638632833,62.791259421658566,,,250.88095238095238,37,0
Hicaz Şarkı,Nîmevsat (13/4),42,67.4684367354245,102.03054177297416,69.22589401586661,0.0,0.0,253.35714285714286,10,2
Hicazkâr Şarkı,Evfer,42,63.96372655901221,86.01660035357482,67.63466686040621,0.0,0.0,255.5952380952381,8,2
Hicaz-Hümâyûn Murabbâ,Ağırçenber (12/1),42,69.23333443906026,145.9308271115845,63.72668963051272,,,256.64285714285717,12,0
Kürdî Şarkı,Semâî,42,65.04619262591358,102.77935191239546,64.79232748268085,,,266.6190476190476,33,0
Rast Peşrev,Fireng-i Fer,42,69.42955762848831,135.9629985768685,63.386705044211,0.0,0.0,267.8333333333333,7,1
Hicaz Sazsemâîsi,Aksaksemâî,42,65.91853958499144,109.72738979989255,61.76809293234917,,,268.5238095238095,37,0
Muhayyer Türkü,Senginsemâî,42,64.37770717405824,95.82887874604859,63.4964877566515,,,280.85714285714283,12,0
Tâhir Peşrev,Fahte,42,68.88566048836633,152.26167673115668,62.751705549928445,0.0,0.0,284.9047619047619,9,1
Hicaz Beste,Ağırdüyek,42,64.20932522299556,96.9732446974456,64.18691067890066,,,285.3809523809524,48,0
Beyâtî-Arabân Şarkı,Curcuna,42,63.82388247126307,86.53127969309352,65.83250780300656,0.0,0.0,293.5238095238095,1,1
Beyâtî Peşrev,Hafîf,84,68.68404479401693,148.9529312380963,62.54497217129423,0.0,0.0,293.54761904761904,10,1
Sultânîyegâh Medhal,Sofyan,42,64.55850711732022,105.43993073807675,64.5666564098618,,,297.26190476190476,41,0
Nevâ Murabbâ,Muhammes,42,66.36743970209675,123.93157286676269,61.23072682282641,,,298.0238095238095,23,0
Hicazkâr Şarkı,Devr-i Hindî,42,69.80434844767123,150.6513740556975,64.07306620055176,,,298.45238095238096,17,0
Segâh Şarkı,Ağır Aksaksemâî,84,67.13798293897203,143.43070317519374,60.59738337514396,0.0,0.0,300.7261904761905,5,1
Dügâh İlâhî,Ağırçenber,42,62.74217687995454,80.07055898161319,66.65505368440085,0.0,0.0,301.6904761904762,6,2
Beyâtî Şarkı,Şarkı Devr-i Revânı,42,62.79905020088609,82.14597356308573,67.20407907426628,0.0,0.0,303.26190476190476,7,1
Evcârâ Sazsemâîsi,Aksaksemâî,42,65.69066256991428,120.67344612969448,61.429463455147044,,,305.1190476190476,38,0
Hicaz-Zirgüle Türkü,Curcuna,42,66.84795368944114,124.1015637353574,62.606159709846295,,,307.1190476190476,17,0
Hüseynî Peşrev,Muhammes,42,66.0966634824443,133.3784533023351,62.77831447933174,,,307.6904761904762,52,0
Hüseynî Beste,Hafîf (32/2),42,63.99195315679276,93.11063744616955,63.95240628913068,,,309.54761904761904,14,0
Gülizâr Peşrev,Hafîf,42,67.99864906281495,154.75598705363353,61.88507820101334,,,313.42857142857144,17,0
Beyâtî Beste,Remel,42,67.75401216082585,150.44599721071927,61.892136877059286,,,314.6666666666667,25,0
Hüseynî (Mi'de) Türkü,Düyek,42,64.37045801449554,92.04619622122219,66.32746238103164,,,317.7857142857143,13,0
Şevk`efzâ Şarkı,Aksak,42,63.043465737014785,88.68800153282245,65.40569046102902,,,321.5238095238095,28,0
Rast Şarkı,Devr-i Hindî (7/8),42,66.49413745936364,120.61703441585364,60.93725720219999,0.0,0.0,323.7857142857143,2,1
Muhayyer Peşrev,Devr-i Kebîr,42,66.60459948161073,143.6804599322199,59.78826749746774,,,324.6190476190476,54,0
Sabâ Beste,Devr-i Kebîr,42,64.14868495145616,103.06650398234693,60.278803102113514,,,334.23809523809524,67,0
Hicaz Fantezi,Yürüksemâî II (6/4),42,62.23837338269617,82.56259286325822,67.6165258492847,0.0,0.0,336.3095238095238,1,3
Sultânîsegâh Peşrev,Çiftedüyek,42,63.86247507281002,101.98388185870391,62.968223492926235,,,336.95238095238096,31,0
Rast Peşrev,Sakîl,42,64.21485246719223,105.59991409926013,62.92032528316605,,,340.2857142857143,43,0
Uşşak Şarkı,Ağır Aksaksemâî,42,67.97132351379948,151.3898896396304,60.59888200828227,,,340.9047619047619,28,0
Uşşak Şarkı,Evfer,42,65.48379279002246,120.43254085271094,61.59199427898213,,,343.76190476190476,63,0
Muhayyer Peşrev,Düyek,42,68.50898116553523,142.24397590790545,61.96033145149447,,,344.35714285714283,12,0
Nihâvent Kâr,Hafîf,42,67.54984227110074,150.51800140461282,60.92751216927139,,,345.4047619047619,21,0
