makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Acem Selam,1,72.18819618825384,72.18819618825384,78.21428571428571,78.21428571428571
Nikrîz Fantezi,1,69.77112567685917,69.77112567685917,95.21428571428571,95.21428571428571
Ferahfezâ Beste,1,71.14548332919868,71.14548332919868,105.07142857142857,105.07142857142857
Nişâbureyn Peşrev,1,73.51443652052006,73.51443652052006,132.83333333333334,132.83333333333334
Ferahfezâ Ağırsemâî,1,70.47316500709255,70.47316500709255,145.71428571428572,145.71428571428572
Yegâh Beste,1,71.15209257471777,71.15209257471777,146.21428571428572,146.21428571428572
Isfahân Beste,1,70.77355778437547,70.77355778437547,158.04761904761904,158.04761904761904
Hicaz-Hümâyûn Nakış,1,69.39111485972899,69.39111485972899,169.54761904761904,169.54761904761904
Sûzinâk-Zirgüle Nakış,1,68.43364062706789,68.43364062706789,174.0952380952381,174.0952380952381
Dügâh Yürüksemâî,1,68.47719840058963,68.47719840058963,183.28571428571428,183.28571428571428
Arazbâr Ağırsemâî,1,67.58165391722765,67.58165391722765,187.71428571428572,187.71428571428572
Beste-Isfahan Yürüksemâî,1,67.50757918175249,67.50757918175249,190.54761904761904,190.54761904761904
Sûzidilârâ Peşrev,1,70.17034415853597,70.17034415853597,203.8095238095238,203.8095238095238
Şedarabân Beste,1,70.55227464996106,70.55227464996106,214.35714285714286,214.35714285714286
Hüseynî Düet,1,67.35974307925146,67.35974307925146,218.07142857142858,218.07142857142858
Rast Kâr-ı Nâtık,1,68.7951350794729,68.7951350794729,225.02380952380952,225.02380952380952
Dilkeşhâveran Ağırsemâî,1,69.9637057333571,69.9637057333571,229,229
Nev`eser Nakış,1,65.32621036570862,65.32621036570862,238.28571428571428,238.28571428571428
Rehâvî Beste,1,68.29343872132371,68.29343872132371,242.71428571428572,242.71428571428572
Acemaşîrân İlâhî,1,67.51636694682254,67.51636694682254,247.64285714285714,247.64285714285714
Rast Kâr-ı Nev,1,67.3883966877575,67.3883966877575,250.88095238095238,250.88095238095238
Hicaz-Hümâyûn Murabbâ,1,69.23333443906026,69.23333443906026,256.64285714285717,256.64285714285717
Hicaz Sazsemâîsi,1,65.91853958499144,65.91853958499144,268.5238095238095,268.5238095238095
Hicazkâr Beste,2,65.56830941232099,69.85496684752422,283.1904761904762,183.14285714285714
Tâhir Peşrev,1,68.88566048836633,68.88566048836633,284.9047619047619,284.9047619047619
